Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C90444	C71150		ECG Result	R WAVE NOTCHED	R Wave Notched	An electrocardiographic finding of an R wave variant in which there is a small deflection of the R wave, with changing polarity, within the QRS complex. (NCI)	R Wave Notched by ECG Finding
C102574	C71150		ECG Result	REPOLARIZATION ABNORMALITY	Repolarization Abnormality	An electrocardiographic finding of an abnormality of T wave duration or morphology or of early repolarization.	Ventricular Repolarization Abnormality
C102706	C71150		ECG Result	REPOLARIZATION ABNORMALITY SECONDARY TO VENTRICULAR HYPERTROPHY	Repolarization Abnormality Secondary To Ventricular Hypertrophy; ST-T change due to ventricular hypertrophy	An electrocardiographic finding of ST depression and T wave inversion in the presence of increased QRS amplitude which are thought to be due to left ventricular hypertrophy.	Repolarization Abnormality Secondary To Ventricular Hypertrophy
C71041	C71150		ECG Result	RIGHT ATRIAL ABNORMALITY	P-pulmonale; Right Atrial Enlargement	An electrocardiographic finding suggesting underlying hypertrophy or dilatation of the right atrium. Electrocardiographic criteria used for the diagnosis of right atrial abnormality may include a peaked p wave greater than 2.5 millimeters in amplitude in the inferior leads. (NCI)	P-pulmonale by ECG Finding
C62270	C71150		ECG Result	RIGHT BUNDLE BRANCH BLOCK	Complete RBBB; Right bundle branch block; Right bundle-branch block	An electrocardiographic finding of a wide QRS complex with evidence of delayed conduction to the right ventricle, manifest by a widened initial portion of the QRS in V1 and V2, a widened S wave in V5, V6, I and aVL, and with QRS duration greater than or equal to 120 ms. An RsR' complex is typically present in leads V1 and V2.	Right Bundle Branch Block by ECG Finding
C92235	C71150		ECG Result	RIGHT VENTRICULAR CONDUCTION DELAY	Right Ventricular Conduction Delay; Right Ventricular Delay	An electrocardiographic finding in which there is evidence that electrical transmission through the right ventricle is impaired with a maximal QRS duration of 110 ms and which does not meet the criteria for Incomplete Right Bundle Branch Block.	Right Ventricular Conduction Delay by ECG Finding
C71077	C71150		ECG Result	RIGHT VENTRICULAR HYPERTROPHY	Right ventricular Hypertrophy	An electrocardiographic finding suggestive of a hypertrophied right ventricle, characterized by large R wave amplitudes in the right precordial leads and secondary findings of right atrial enlargement, right axis deviation, and typical pattern of ST depression and T wave inversion in the right precordial leads.	Right Ventricular Hypertrophy by ECG Finding
C92227	C71150		ECG Result	RSR PRIME	RSR'	An electrocardiographic finding in which there are two R waves, which are two deflections above the baseline resulting from a single ventricular depolarization. The first upward deflection in the complex is the R wave. The S is the first downward deflection. A second upward deflection is called the R-prime wave.	RSR' by ECG Finding
C35519	C71150		ECG Result	SEPTAL MYOCARDIAL INFARCTION	Septal myocardial infarction	An electrocardiographic finding suggesting an infarction in the anatomic location of the cardiac septum. (NCI)	Septal Myocardial Infarction by ECG Finding
C62246	C71150		ECG Result	SHORT PR INTERVAL	Short PR interval	An electrocardiographic finding of an abnormally short PR interval. Thresholds for different age, gender, and patient populations exist.	Short PR Interval by ECG Finding
C102709	C71150		ECG Result	SHORT QTC INTERVAL	Short QTc Interval	An electrocardiographic finding of a QT interval corrected for heart rate that is shorter than the lower limit of normal. Thresholds for different age, gender, and patient populations exist.	Short QTc Interval
C112402	C71150		ECG Result	SHORT QTCB		An electrocardiographic finding in which the QT interval corrected for heart rate using Bazett's formula is shortened. Thresholds for different age, gender, and patient populations exist.	QTcB Shortened
C112403	C71150		ECG Result	SHORT QTCF		An electrocardiographic finding in which the QT interval corrected for heart rate using Fridericia's formula is shortened. Thresholds for different age, gender, and patient populations exist.	QTcF Shortened
C116136	C71150		ECG Result	SHORT ST SEGMENT		An electrocardiographic finding of a short or absent ST segment, resulting in a short QT interval, without changes in T wave morphology.	Short ST Segment by ECG Finding
C50553	C71150		ECG Result	SINOATRIAL EXIT BLOCK	SA Block; Sinoatrial Block; Sinoatrial exit block	An electrocardiographic finding in which impaired conduction or automaticity within the sinus node results in the failure of impulse transmission from the sinoatrial node. This is manifest as dropped P waves during sinus rhythm.	Exit Block by ECG Finding
C62242	C71150		ECG Result	SINUS ARREST/PAUSE	Sinus arrest/pause; Sinus pause or arrest	An electrocardiographic finding in which a failure of impulse formation or conduction in the sinus node produces prolongation of the P-P interval or dropped P waves. The threshold for the prolongation of the P-P interval is not well defined.	Sinus Arrest by ECG Finding
C62239	C71150		ECG Result	SINUS ARRHYTHMIA	Respiratory Sinus Arrhythmia; Sinus arrhythmia	An electrocardiographic finding in which the sinus rate fluctuates with the respiratory cycle.	Sinus Arrhythmia by ECG Finding
C111097	C71150		ECG Result	SINUS BRADYCARDIA	Sinus bradycardia	An electrocardiographic finding of abnormally slow heart rate with its origin in the sinus node. Thresholds for different age, gender, and patient populations exist.	Sinus Bradycardia by ECG Finding
C100076	C71150		ECG Result	SINUS RHYTHM	Sinus Rhythm	An electrocardiographic finding of an atrial rhythm which originates from the sinoatrial node that is considered normal for the population.	Sinus Rhythm
C111104	C71150		ECG Result	SINUS TACHYCARDIA	Sinus tachycardia	An electrocardiographic finding of abnormally rapid heart rate with its origin in the sinus node. Thresholds for different age, gender, and patient populations exist.	Sinus Tachycardia by ECG Finding
C41330	C71150		ECG Result	ST DEPRESSION	ST depression	An electrocardiographic finding of ST segment depression below the baseline, often described as up sloping, down sloping or horizontal. (NCI)	ST Segment Depression by ECG Finding
C50540	C71150		ECG Result	ST ELEVATION	ST elevation	An electrocardiographic finding of ST segment elevation above the baseline. (NCI)	ST Segment Elevation by ECG Finding
C71029	C71150		ECG Result	ST ELEVATION PERICARDITIS	ST elevation pericarditis	An electrocardiographic finding of ST elevation which is concave upwards, and which is often accompanied by PR segment depression.	ST Elevation Pericarditis by ECG Finding
C119252	C71150		ECG Result	SUPRAVENTRICULAR COUPLET		An electrocardiographic finding in which two premature atrial complexes occur sequentially.	Supraventricular Couplet by ECG Finding
C111100	C71150		ECG Result	SUPRAVENTRICULAR TACHYCARDIA	Supraventricular tachycardia	An electrocardiographic finding of a tachycardia which does not originate in the ventricles or His Purkinje system. There is an abnormally high heart rate and QRS complexes are typically narrow, but aberration or preexcitation may be present.	Supraventricular Tachycardia by ECG Finding
C114173	C71150		ECG Result	SUSPECT LIMB ELECTRODES REVERSED, INTERPRETATION ASSUMES NO REVERSAL		An electrocardiographic recording in which an interchange of one or more limb lead electrodes is suspected, but for which an interpretation is performed as though the lead placement is correct.	Suspicion of Limb Electrodes Reversal But Interpretation Assumes No Reversal by ECG Finding
C114174	C71150		ECG Result	SUSPECT LIMB ELECTRODES REVERSED, INTERPRETATION ASSUMES REVERSAL		An electrocardiographic recording in which an interchange of one or more limb lead electrodes is suspected, and for which an interpretation is performed as though the leads have in fact been interchanged.	Suspicion of Limb Electrodes Reversal But Interpretation Assumes Reversal by ECG Finding
C71052	C71150		ECG Result	SUSTAINED VENTRICULAR TACHYCARDIA	Sustained ventricular tachycardia	An electrocardiographic finding of ventricular tachycardia greater than 30 seconds in duration. (NCI)	Sustained Ventricular Tachycardia by ECG Finding
C102718	C71150		ECG Result	T WAVE ALTERNANS	T Wave Alternans	An electrocardiographic finding in which there are variations in the shape, amplitude, or direction of the T wave from one beat to the next.	T Wave Alternans by ECG Finding
C71085	C71150		ECG Result	T WAVE INVERSION	T Wave Inversion	An electrocardiographic finding of an inversion of the T wave from the expected axis. (NCI)	T Wave Inversion by ECG Finding
C71086	C71150		ECG Result	T WAVE PEAKED	T wave peaked	An electrocardiographic finding in which the T wave appears increased in amplitude and cresting at a point. (NCI)	T Wave Peaked by ECG Finding
C71087	C71150		ECG Result	T WAVES BIPHASIC	T waves biphasic	An electrocardiographic finding of a T wave with both positive and negative components.	T Waves Biphasic by ECG Finding
C71088	C71150		ECG Result	T WAVES FLAT	T waves flat	An electrocardiographic finding in which the T wave appears decreased in amplitude. (NCI)	T Waves Flat by ECG Finding
C111121	C71150		ECG Result	TACHYCARDIA	Tachycardia	An electrocardiographic finding of abnormally rapid heart rate. Thresholds for different age, gender, and patient populations exist.	Tachycardia by ECG Finding
C50779	C71150		ECG Result	TORSADES DE POINTES	Torsades de pointes; Ventricular tachycardia, torsades de pointes	An electrocardiographic finding of an atypical rapid polymorphic ventricular tachycardia with a characteristic rotation of the QRS complex around the isoelectric baseline, occurring in the setting of a prolonged QT interval. In addition, the QRS complex displays a periodic waxing and waning of amplitude on the electrogram.	Torsades De Pointes by ECG Finding
C106579	C71150		ECG Result	U WAVE ABNORMALITY	Abnormal U Wave	An electrocardiographic finding of U waves which have increased amplitude, are inverted, or merged with the preceding T wave.	U Wave Abnormality by ECG Finding
C114170	C71150		ECG Result	UNABLE TO DIGITIZE ECG LEADS		A statement indicating the inability to digitize a paper ECG.	Inability to Digitize ECG Leads
C116131	C71150		ECG Result	UNDETERMINED RHYTHM		An electrocardiographic finding of a cardiac rhythm whose mechanism cannot be determined from the ECG.	Undetermined Rhythm by ECG Finding
C120607	C71150		ECG Result	UNDETERMINED SUPRAVENTRICULAR RHYTHM		An electrocardiographic finding of a rhythm which does not originate in the ventricles or His Purkinje system, but whose specific electrophysiologic mechanism cannot be determined from the ECG. The QRS complexes are typically narrow, but aberration or preexcitation may be present.	Undetermined Supraventricular Rhythm by ECG Finding
C71054	C71150		ECG Result	VENTRICULAR BIGEMINY	Bigeminy	An electrocardiographic finding of a normal QRS complex followed by a premature ventricular complex for 3 or more consecutive cycles; a regularly irregular rhythm of normal and abnormal QRS complexes in a 1-1 ratio.	Ventricular Bigeminy by ECG Finding
C62259	C71150		ECG Result	VENTRICULAR COUPLET	Ventricular Pair; Ventricular couplet	An electrocardiographic finding in which two premature ventricular complexes occur sequentially.	Ventricular Couplet by ECG Finding
C90483	C71150		ECG Result	VENTRICULAR ESCAPE BEAT	Ventricular Escape Beat; Ventricular escape complex(es)	An electrocardiographic finding of a compensatory ventricular complex that occurs following a prolonged RR interval.	Ventricular Escape Beat by ECG Finding
C111102	C71150		ECG Result	VENTRICULAR FIBRILLATION	Ventricular fibrillation	An electrocardiographic finding of a rapid grossly irregular ventricular rhythm with marked variability in QRS cycle length, morphology, and amplitude. The rate is typically greater than 300 bpm.	Ventricular Fibrillation by ECG Finding
C111115	C71150		ECG Result	VENTRICULAR FLUTTER	Ventricular flutter	A ventricular tachyarrhythmia characterized by a high ventricular rate (180 to 250 beats per minute) with a regular rhythm. The electrocardiogram shows large oscillating sine wave-like complexes occurring as a result of QRS complexes and T waves being merged. The P wave is not visible. (NCI)	Ventricular Flutter by ECG Finding
C102728	C71150		ECG Result	VENTRICULAR PARASYSTOLE	Parasystole; Ventricular Parasystole	An electrocardiographic finding of normal sinus rhythm coexisting with a regular ectopic ventricular rhythm.	Ventricular Parasystole by ECG Finding
C111103	C71150		ECG Result	VENTRICULAR TACHYCARDIA	Ventricular tachycardia	An electrocardiographic finding of three or more consecutive complexes of ventricular organ with a rate greater than a certain threshold (100 or 120 beats per minute are commonly used). The QRS complexes are wide and have an abnormal morphology.	Ventricular Tachycardia by ECG Finding
C62234	C71150		ECG Result	VENTRICULAR TACHYCARDIA, MONOMORPHIC	Ventricular tachycardia, monomorphic	An electrocardiographic finding of a ventricular tachycardia in which the QRS complexes have a uniform morphology.	Monomorphic Ventricular Tachycardia by ECG Finding
C62236	C71150		ECG Result	VENTRICULAR TACHYCARDIA, POLYMORPHIC	Ventricular tachycardia, polymorphic; Ventricular tachycardia, polymorphous	An electrocardiographic finding of a ventricular tachycardia in which the QRS complexes have a variable morphology and often rate.	Polymorphic Ventricular Tachycardia by ECG Finding
C71055	C71150		ECG Result	VENTRICULAR TRIGEMINY	Trigeminy	An electrocardiographic finding of two normal QRS complexes followed by a premature ventricular complex for 3 or more consecutive cycles; a regularly irregular rhythm of normal and abnormal QRS complexes in a 2-1 ratio.	Ventricular Trigeminy by ECG Finding
C62240	C71150		ECG Result	WANDERING ATRIAL PACEMAKER	Wandering atrial pacemaker	An electrocardiographic finding of a supraventricular arrhythmia characterized by 3 or more distinct P wave morphologies with an isoelectric baseline, variable PR intervals and no predominant atrial rhythm. The ventricular rate is typically below 100 beats per minute.	Wandering Atrial Pacemaker by ECG Finding
C71090	C71150		ECG Result	WIDE QRS TACHYCARDIA	Wide QRS tachycardia; Wide-QRS tachycardia	An electrocardiographic finding of three or more consecutive wide QRS complexes of uncertain origin with a rate greater than a certain threshold (100 or 120 beats per minute are commonly used).	Wide QRS Tachycardia by ECG Finding
C35132	C71150		ECG Result	WOLFF-PARKINSON-WHITE SYNDROME	WPW; Wolff-Parkinson-White syndrome	An electrocardiographic finding of ventricular pre-excitation. The syndrome is characterized by a short PR interval and a long QRS interval with a delta wave.	Wolff-Parkinson-White Syndrome
C71153		Yes	ECG Test Code	EGTESTCD	ECG Test Code	Terminology codelist used with ECG Tests within CDISC.	CDISC SDTM ECG Test Terminology by Code
C116140	C71153		ECG Test Code	AMIEGCHG	Acute Myocardial Ischemia ECG Change	An electrocardiographic finding assessment of new or presumed new significant ST-segment-T wave (ST-T) changes or new left bundle branch block consistent with acute myocardial ischemia. (Thygesen K, Alpert JS, Jaffe AS, et al.: the Writing Group on behalf of the Joint ESC/ACCF/AHA/WHF Task Force for the Universal Definition of Myocardial Infarction. J Am Coll Cardiol 60(16):1-18, 2012)	Acute Myocardial Ischemia by ECG Assessment
C111131	C71153		ECG Test Code	AVCOND	Atrioventricular Conduction	An electrocardiographic assessment of cardiac atrioventricular conduction.	Atrioventricular Conduction ECG Assessment
C111132	C71153		ECG Test Code	AXISVOLT	Axis and Voltage	An electrocardiographic assessment of mean cardiac electrical vector and the ECG voltage.	Axis and Voltage ECG Assessment
C111155	C71153		ECG Test Code	CHYPTENL	Chamber Hypertrophy or Enlargement	An electrocardiographic assessment of chamber hypertrophy or enlargement.	Chamber Hypertrophy or Enlargement ECG Assessment
C119253	C71153		ECG Test Code	EGARMAX	ECG Maximum Atrial Rate	An electrocardiographic measurement of the maximum rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Maximum Atrial Rate by Electrocardiogram
C119254	C71153		ECG Test Code	EGARMED	ECG Median Atrial Rate	An electrocardiographic measurement of the median rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Median Atrial Rate by Electrocardiogram
C119255	C71153		ECG Test Code	EGARMIN	ECG Minimum Atrial Rate	An electrocardiographic measurement of the minimum rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Minimum Atrial Rate by Electrocardiogram
C119256	C71153		ECG Test Code	EGARMN	ECG Mean Atrial Rate	An electrocardiographic measurement of the average rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Mean Atrial Rate by Electrocardiogram
C117761	C71153		ECG Test Code	EGCOMP	Comparison to a Prior ECG	A comparative interpretation of an ECG relative to a previous (comparator) ECG. The definition of the comparator ECG may be specified elsewhere. Common comparator result values include improved, no change, deteriorated.	Comparison to a Prior ECG
C119257	C71153		ECG Test Code	EGHRMAX	ECG Maximum Heart Rate	An electrocardiographic measurement of the maximum rate of depolarization of a specific region of the heart during an interval of time, usually expressed in beats per minute. Unless otherwise specified, this is usually the maximum ventricular rate.	Maximum Heart Rate by Electrocardiogram
C119258	C71153		ECG Test Code	EGHRMIN	ECG Minimum Heart Rate	An electrocardiographic measurement of the minimum rate of depolarization of a specific region of the heart during an interval of time, usually expressed in beats per minute. Unless otherwise specified, this is usually the minimum ventricular rate.	Minimum Heart Rate by Electrocardiogram
C119259	C71153		ECG Test Code	EGHRMN	ECG Mean Heart Rate	An electrocardiographic measurement of the average rate of depolarization of a specific region of the heart during an interval of time, usually expressed in beats per minute. Unless otherwise specified, this is usually the mean ventricular rate.	Mean Heart Rate by Electrocardiogram
C120608	C71153		ECG Test Code	EGHRSI	Single RR Heart Rate	An electrocardiographic measurement of a heart rate derived from a single RR interval (interval between two consecutive QRS complexes).	Single Beat RR Extrapolated Heart Rate by ECG Assessment
C119260	C71153		ECG Test Code	EGVRMAX	ECG Maximum Ventricular Rate	An electrocardiographic measurement of the maximum rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Maximum Ventricular Rate by Electrocardiogram
C119261	C71153		ECG Test Code	EGVRMED	ECG Median Ventricular Rate	An electrocardiographic measurement of the median rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Median Ventricular Rate by Electrocardiogram
C119262	C71153		ECG Test Code	EGVRMIN	ECG Minimum Ventricular Rate	An electrocardiographic measurement of the minimum rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Minimum Ventricular Rate by Electrocardiogram
C119263	C71153		ECG Test Code	EGVRMN	ECG Mean Ventricular Rate	An electrocardiographic measurement of the average rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Mean Ventricular Rate by Electrocardiogram
C102249	C71153		ECG Test Code	HRMED	Summary (Median) Heart Rate	The median number of cycles of contraction and subsequent relaxation of the heart, usually expressed as beats per minute, obtained from a set of measurements of the heart rate.	Median Heart Rate
C41255	C71153		ECG Test Code	INTP	Interpretation	An act or process of elucidation; explication, or explanation of the meaning of the event or thing via the assignment of objects from the domain to the constants of a formal language, truth-values to the proposition symbols, truth-functions to the connectives, other functions to the function symbols, and extensions to the predicates, if any. The assignments are result of human logic application and are not native to the symbols of the formal language.	Interpretation
C111238	C71153		ECG Test Code	IVTIACD	Intraventricular-Intraatrial Conduction	An electrocardiographic assessment of intraventricular and intra-atrial conduction.	Intraventricular and Intraatrial Conduction ECG Assessment
C117762	C71153		ECG Test Code	JTAG	JT Interval, Aggregate	An aggregate JT value based on the measurement of JT intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate JT Interval
C62118	C71153		ECG Test Code	JTCB	JTcB - Bazett's Correction Formula	A formula which takes into account the physiologic shortening of the JT interval which occurs as the heart rate increases, permitting comparison of the JT interval across a range of rates. It is mathematically defined as: JTcB = JT/SqRootRR(seconds) and theoretically corrects the JT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	JTcB - Bazett's Correction Formula
C117763	C71153		ECG Test Code	JTCBAG	JTCB Interval, Aggregate	A JTAG interval corrected for heart rate using Bazett's formula.	Aggregate JTCB Interval
C117764	C71153		ECG Test Code	JTCBSB	JTCB Interval, Single Beat	A JTSB interval corrected for heart rate using Bazett's formula.	Single Beat JTCB Interval
C62119	C71153		ECG Test Code	JTCF	JTcF - Fridericia's Correction Formula	A formula which takes into account the physiologic shortening of the JT interval which occurs as the heart rate increases, permitting comparison of the JT interval across a range of rates. It is mathematically defined as: JTcF = JT/CubeRootRR(seconds) and theoretically corrects the JT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	JTcF - Fridericia's Correction Formula
C117765	C71153		ECG Test Code	JTCFAG	JTCF Interval, Aggregate	A JTAG interval corrected for heart rate using Fridericia's formula.	Aggregate JTCF Interval
C117766	C71153		ECG Test Code	JTCFSB	JTCF Interval, Single Beat	A JTSB interval corrected for heart rate using Fridericia's formula.	Single Beat JTCF Interval
C62120	C71153		ECG Test Code	JTCLC	JTcLC - Linear Correction Formula	A formula which takes into account the physiologic shortening of the JT interval which occurs as the heart rate increases, permitting comparison of the JT interval across a range of rates. The linear correction formula uses population-based data obtained and validated using a large cohort of subjects. Using this method, the corrected JT interval is independent of the ventricular rate. (NCI)	JTcLC - Linear Correction Formula
C62117	C71153		ECG Test Code	JTMAX	Summary (Max) JT Interval	The maximum duration (time) of the JT interval, obtained from a set of measurements of the JT interval. The JT interval is defined as the time from the J point (end of ventricular depolarization, the point at which the QRS meets the ST segment) to the end of the T wave (representing the end of ventricular repolarization). (NCI)	Maximum JT Duration
C62115	C71153		ECG Test Code	JTMEAN	Summary (Mean) JT Interval	The average (mean) duration (time) of the JT interval, obtained from a set of measurements of the JT interval. The JT interval is defined as the time from the J point (end of ventricular depolarization, the point at which the QRS meets the ST segment) to the end of the T wave (representing the end of ventricular repolarization). (NCI)	Mean JT Duration
C62116	C71153		ECG Test Code	JTMIN	Summary (Min) JT Interval	The minimum duration (time) of the JT interval, obtained from a set of measurements of the JT interval. The JT interval is defined as the time from the J point (end of ventricular depolarization, the point at which the QRS meets the ST segment) to the end of the T wave (representing the end of ventricular repolarization). (NCI)	Minimum JT Duration
C117767	C71153		ECG Test Code	JTPAG	J-Tpeak Interval, Aggregate	An aggregate J-Tpeak value based on the measurement of J-Tpeak intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate J-T Peak Interval
C117768	C71153		ECG Test Code	JTPSB	J-Tpeak Interval, Single Beat	An electrocardiographic interval measured from the J point to the peak of the T wave of a single beat utilizing one or more leads.	Single Beat J-T Peak Interval
C117769	C71153		ECG Test Code	JTSB	JT Interval, Single Beat	An electrocardiographic interval measured from the J point to the offset of the T wave of a single beat utilizing one or more leads.	Single Beat JT Interval
C111280	C71153		ECG Test Code	MI	Myocardial Infarction	An electrocardiographic assessment of findings suggestive of myocardial infarction.	Myocardial Infarction ECG Assessment
C117770	C71153		ECG Test Code	NEWQWAVE	New Q Wave	An electrocardiographic finding assessment of new or presumed new pathologic Q waves suggestive of myocardial infarction. (Thygesen K, Alpert JS, Jaffe AS, et al.: the Writing Group on behalf of the Joint ESC/ACCF/AHA/WHF Task Force for the Universal Definition of Myocardial Infarction. J Am Coll Cardiol 60(16):1-18, 2012).	New Q Wave
C118164	C71153		ECG Test Code	P_AXIS	P Wave Axis	A numerical representation of the electrocardiographic vector assessed at maximum deviation of the P wave from the isoelectric baseline, usually reported for the frontal plane.	P Wave Axis
C111285	C71153		ECG Test Code	PACEMAKR	Pacemaker	An electrocardiographic assessment of presence of artificial electronic pacing.	Pacemaker ECG Assessment
C117771	C71153		ECG Test Code	PPAG	PP Interval, Aggregate	An aggregate PP value based on the measurement of PP intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate PP Interval
C117772	C71153		ECG Test Code	PPSM	PP Interval, Single Measurement	An electrocardiographic measurement of the interval between the onsets of two consecutive P waves.	Single Measurement PP Interval
C117773	C71153		ECG Test Code	PRAG	PR Interval, Aggregate	An aggregate PR value based on the measurement of PR intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate PR Interval
C62131	C71153		ECG Test Code	PRMAX	Summary (Max) PR Duration	The maximum duration (time) of the PR interval, obtained from a set of measurements of the PR interval. The PR interval is defined as the time from the beginning of the P wave (representing the onset of atrial depolarization) to the beginning of the R wave (representing the onset of ventricular depolarization). In some cases, a Q wave will precede the R wave, in which case the PR interval is measured from the beginning of the P wave to the beginning of the Q wave. (NCI)	Maximum PR Duration
C62086	C71153		ECG Test Code	PRMEAN	Summary (Mean) PR Duration	The average (mean) duration (time) of the PR interval, obtained from a set of measurements of the PR interval. The PR interval is defined as the time from the beginning of the P wave (representing the onset of atrial depolarization) to the beginning of the R wave (representing the onset of ventricular depolarization). In some cases, a Q wave will precede the R wave, in which case the PR interval is measured from the beginning of the P wave to the beginning of the Q wave. (NCI)	Mean PR Duration
C102250	C71153		ECG Test Code	PRMED	Summary (Median) PR Duration	The median duration (time) of the PR interval, obtained from a set of measurements of the PR interval. The PR interval is defined as the time from the beginning of the P wave (representing the onset of atrial depolarization) to the beginning of the R wave (representing the onset of ventricular depolarization). In some cases, a Q wave will precede the R wave, in which case the PR interval is measured from the beginning of the P wave to the beginning of the Q wave.	Median PR Duration
C62125	C71153		ECG Test Code	PRMIN	Summary (Min) PR Duration	The minimum duration (time) of the PR interval, obtained from a set of measurements of the PR interval. The PR interval is defined as the time from the beginning of the P wave (representing the onset of atrial depolarization) to the beginning of the R wave (representing the onset of ventricular depolarization). In some cases, a Q wave will precede the R wave, in which case the PR interval is measured from the beginning of the P wave to the beginning of the Q wave. (NCI)	Minimum PR Duration
C117774	C71153		ECG Test Code	PRSB	PR Interval, Single Beat	An electrocardiographic interval measured from the onset of the P wave to the onset of the QRS complex of a single beat utilizing one or more leads.	Single Beat PR Interval
C62123	C71153		ECG Test Code	PWAVEDUR	Summary (Mean) P Wave Duration	The average (mean) duration (time) from the onset of atrial depolarization to the completion of atrial depolarization (length of the P wave), obtained from a set of measurements of the time from beginning to end of atrial depolarization. (NCI)	Mean P Wave Duration
C62124	C71153		ECG Test Code	PWAVEHT	Summary (Mean) P Wave Height	The average (mean) height (usually measured in mm) of the maximum deflection from baseline of the P wave (representing atrial depolarization), obtained from a set of measurements of the P wave, from a single lead or set of leads. Typically this measurement is obtained by analysis of Lead II. (NCI)	Mean P Wave Height
C117775	C71153		ECG Test Code	PWDURAG	P Wave Duration, Aggregate	An aggregate P wave duration value based on the measurement of P wave duration intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate P Wave Duration
C117776	C71153		ECG Test Code	PWDURSB	P Wave Duration, Single Beat	An electrocardiographic interval measured from the onset of the P wave to the offset of the P wave of a single beat utilizing one or more leads.	Single Beat P Wave Duration
C117777	C71153		ECG Test Code	PWHTAG	P Wave Amplitude, Aggregate	An aggregate P wave amplitude value based on the measurement of P wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate P Wave Amplitude
C117778	C71153		ECG Test Code	PWHTSB	P Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the P wave measured from the isoelectric baseline to the peak of the P wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	Single Beat P Wave Amplitude
C118165	C71153		ECG Test Code	QRS_AXIS	QRS Axis	A numerical representation of the electrocardiographic vector assessed at maximum deviation of the QRS complex from the isoelectric baseline, usually reported for the frontal plane.	QRS Axis
C117779	C71153		ECG Test Code	QRSAG	QRS Duration, Aggregate	An aggregate QRS value based on the measurement of QRS intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate QRS Duration
C62087	C71153		ECG Test Code	QRSDUR	Summary (Mean) QRS Duration	The average (mean) duration (time) of the QRS interval, obtained from a set of measurements of the QRS interval. The QRS interval is defined as the time from the beginning of the QRS complex to the end of the QRS complex, representing the time it takes for the ventricles to depolarize. (NCI)	Mean QRS Duration
C100390	C71153		ECG Test Code	QRSDURVP	QRS Duration Ventricular Paced	The average (mean) duration (time) of the QRS interval, obtained from a set of measurements of the QRS interval while the ventricle rhythm is controlled by an electrical impulse from a mechanical cardiac pacemaker. The QRS interval is defined as the time from the beginning of the QRS complex to the end of the QRS complex, representing the time it takes for the ventricles to depolarize.	Mean QRS Duration Ventricular Paced
C102251	C71153		ECG Test Code	QRSMED	Summary (Median) QRS Duration	The median duration (time) of the QRS interval, obtained from a set of measurements of the QRS interval. The QRS interval is defined as the time from the beginning of the QRS complex to the end of the QRS complex, representing the time it takes for the ventricles to depolarize.	Median QRS Duration
C117780	C71153		ECG Test Code	QRSSB	QRS Duration, Single Beat	An electrocardiographic interval measured from the onset of the QRS complex to the offset of the QRS complex of a single beat utilizing one or more leads.	Single Beat QRS Duration
C117781	C71153		ECG Test Code	QRVDVPAG	QRS Duration, Ventr. Paced, Aggregate	An aggregate paced QRS duration value based on the measurement of paced QRS duration intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Paced Ventricular Aggregate QRS Duration
C117782	C71153		ECG Test Code	QRVDVPSB	QRS Duration, Ventr. Paced, Single Beat	An electrocardiographic interval measured from the onset of the paced QRS complex to the offset of the QRS complex of a single beat utilizing one or more leads.	Paced Ventricular Single Beat QRS Duration
